student_id,age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,last_exam_score,assignment_scores_avg,attendance_percentage,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score,passed,performance_category,ChatGPT_usage,Claude_usage,Copilot_usage,Gemini_usage
1,20,Female,1,2.5,1,170,Exam Prep,10,29,56,5,29,40.9,98.8,4,9.0,8.1,7.2,1.5,4.6,6,36.8,0,Low,0,0,0,0
2,17,Male,12,3.4,1,123,Notes,4,14,65,1,60,87.2,89.3,8,8.5,13.8,7.6,5.1,2.7,6,65.5,1,Medium,0,0,0,0
3,24,Male,3,0.8,0,35,Doubt Solving,8,82,8,5,98,77.1,50.8,7,2.1,39.1,5.7,0.2,4.0,3,66.3,1,Medium,0,0,1,0
4,21,Female,12,4.4,0,45,Notes,3,74,106,10,67,86.4,52.1,5,6.7,25.2,8.2,4.2,2.9,2,69.5,1,Medium,1,0,0,1
5,18,Other,3,3.5,1,21,Coding,2,83,7,10,40,69.4,40.7,5,5.4,2.7,8.7,0.2,2.9,2,49.7,1,Low,1,0,0,1
6,20,Male,1,5.1,1,34,Coding,10,24,95,6,43,98.9,88.1,9,8.0,13.4,5.5,3.7,2.1,4,77.9,1,High,0,0,1,0
7,23,Female,1,2.0,1,112,,8,37,57,5,93,71.5,50.2,9,9.6,3.7,5.8,1.6,3.4,5,82.2,1,High,1,0,0,1
8,16,Male,3,5.5,0,174,Homework,4,42,70,6,42,57.7,97.1,6,4.3,13.2,6.0,0.4,2.5,6,52.7,1,Medium,1,0,0,0
9,20,Female,10,6.0,1,32,,9,29,37,9,99,97.7,67.1,9,7.8,18.8,5.4,1.6,4.2,4,81.7,1,High,0,0,1,0
10,24,Female,1,5.6,0,140,Doubt Solving,3,39,19,7,88,35.2,42.7,7,2.9,38.5,7.2,0.7,4.6,1,66.7,1,Medium,0,0,0,0
11,24,Female,10,4.8,1,55,Homework,9,58,46,5,52,66.0,78.6,6,4.8,23.9,8.5,1.3,2.5,8,54.3,1,Medium,0,0,1,0
12,21,Male,10,5.0,0,66,Homework,10,22,78,10,55,74.2,46.6,2,7.5,21.8,6.1,4.1,1.3,4,50.7,1,Medium,0,0,1,0
13,18,Female,3,3.7,1,12,Coding,6,43,102,9,44,54.2,79.4,3,1.8,-14.2,4.9,5.0,2.2,10,44.5,1,Low,1,0,0,1
14,17,Female,10,1.5,1,49,Coding,5,80,27,5,77,36.4,80.9,9,8.8,-0.8,5.0,2.6,3.5,3,62.0,1,Medium,0,0,1,0
15,21,Male,10,4.2,1,27,,2,0,94,5,85,58.7,43.0,1,9.3,-3.2,7.6,2.5,2.5,8,56.7,1,Medium,0,0,0,1
16,21,Male,11,4.4,0,103,Doubt Solving,6,77,59,6,50,86.7,92.7,7,8.8,-14.0,7.7,2.8,2.0,8,66.2,1,Medium,0,0,0,1
17,16,Male,12,5.9,1,97,Coding,4,81,21,8,63,70.0,63.2,1,1.0,32.3,6.4,2.8,0.1,8,48.0,1,Low,1,0,0,0
18,19,Male,10,3.5,1,95,Doubt Solving,5,40,103,1,82,83.1,59.3,10,8.2,28.8,7.8,1.4,0.9,3,90.6,1,High,0,0,1,0
19,18,Female,12,2.0,0,86,Notes,6,61,112,9,64,80.2,79.4,7,9.1,27.4,6.6,5.9,4.2,7,64.9,1,Medium,0,0,1,0
20,15,Male,10,4.3,1,87,,7,59,50,8,69,50.1,96.1,8,9.9,-9.4,5.5,4.0,3.8,8,61.2,1,Medium,0,0,0,0
21,21,Male,12,5.9,1,151,Exam Prep,4,79,23,7,86,47.7,98.2,3,1.3,16.0,4.7,4.6,0.4,4,57.0,1,Medium,1,0,0,1
